feature,importance
imd_band_ord,2450
highest_education_ord,1170
age_band_ord,700
courses_per_term,478
active_in_VLE,472
excellent_Score,375
disability_binary,373
region_Scotland,338
region_Wales,268
region_South Region,263
student_engagementt,245
region_South East Region,238
region_London Region,237
region_East Midlands Region,233
region_South West Region,217
region_Yorkshire Region,208
region_West Midlands Region,203
region_North Western Region,191
region_Ireland,178
region_North Region,163
